frame.number,frame.time,tcp.srcport,tcp.dstport,nbns.flags.rcode
"720","Dec  2, 2017 12:44:48.602979000 Eastern Standard Time","58220","8081",
"721","Dec  2, 2017 12:44:48.603050000 Eastern Standard Time","58220","8081",
"722","Dec  2, 2017 12:44:48.603095000 Eastern Standard Time","58220","8081",
"723","Dec  2, 2017 12:44:48.647546000 Eastern Standard Time","58220","8081",
"724","Dec  2, 2017 12:44:48.806058000 Eastern Standard Time","58220","8081",
"725","Dec  2, 2017 12:44:48.812453000 Eastern Standard Time","58220","8081",
"726","Dec  2, 2017 12:44:48.812898000 Eastern Standard Time","8081","58220",
"727","Dec  2, 2017 12:44:48.961348000 Eastern Standard Time","8081","58220",
"728","Dec  2, 2017 12:44:49.010197000 Eastern Standard Time","8081","58220",
"729","Dec  2, 2017 12:44:49.010612000 Eastern Standard Time","8081","58220",
"730","Dec  2, 2017 12:44:49.199069000 Eastern Standard Time","58220","8081",
"731","Dec  2, 2017 12:44:49.199495000 Eastern Standard Time","8081","58220",
"732","Dec  2, 2017 12:44:49.199761000 Eastern Standard Time","58220","8081",
"733","Dec  2, 2017 12:44:49.199840000 Eastern Standard Time","58220","8081",
"734","Dec  2, 2017 12:44:49.199883000 Eastern Standard Time","58220","8081",
"735","Dec  2, 2017 12:44:49.240224000 Eastern Standard Time","58220","8081",
"736","Dec  2, 2017 12:44:49.388970000 Eastern Standard Time","58220","8081",
"737","Dec  2, 2017 12:44:49.396386000 Eastern Standard Time","58220","8081",
"738","Dec  2, 2017 12:44:49.396858000 Eastern Standard Time","8081","58220",
"739","Dec  2, 2017 12:44:49.447370000 Eastern Standard Time","8081","58220",
"740","Dec  2, 2017 12:44:49.447622000 Eastern Standard Time","8081","58220",
"741","Dec  2, 2017 12:44:49.447821000 Eastern Standard Time","8081","58220",
"742","Dec  2, 2017 12:44:49.647672000 Eastern Standard Time","58220","8081",
"743","Dec  2, 2017 12:44:49.647759000 Eastern Standard Time","58220","8081",
"744","Dec  2, 2017 12:44:49.647809000 Eastern Standard Time","58220","8081",
"745","Dec  2, 2017 12:44:49.660521000 Eastern Standard Time","58220","8081",
"746","Dec  2, 2017 12:44:49.660991000 Eastern Standard Time","8081","58220",
"747","Dec  2, 2017 12:44:49.683541000 Eastern Standard Time","8081","58220",
"748","Dec  2, 2017 12:44:49.683831000 Eastern Standard Time","8081","58220",
"749","Dec  2, 2017 12:44:49.684035000 Eastern Standard Time","8081","58220",
"750","Dec  2, 2017 12:44:49.871957000 Eastern Standard Time","58220","8081",
"751","Dec  2, 2017 12:44:49.874490000 Eastern Standard Time","58220","8081",
"752","Dec  2, 2017 12:44:49.874570000 Eastern Standard Time","58220","8081",
"753","Dec  2, 2017 12:44:49.874663000 Eastern Standard Time","58220","8081",
"754","Dec  2, 2017 12:44:49.875431000 Eastern Standard Time","58220","8081",
"755","Dec  2, 2017 12:44:49.902429000 Eastern Standard Time","8081","58220",
"756","Dec  2, 2017 12:44:49.902625000 Eastern Standard Time","8081","58220",
"757","Dec  2, 2017 12:44:49.902873000 Eastern Standard Time","8081","58220",
"758","Dec  2, 2017 12:44:49.903198000 Eastern Standard Time","8081","58220",
"759","Dec  2, 2017 12:44:50.085357000 Eastern Standard Time","58220","8081",
"760","Dec  2, 2017 12:44:50.086296000 Eastern Standard Time","58220","8081",
"761","Dec  2, 2017 12:44:50.091817000 Eastern Standard Time","58220","8081",
"762","Dec  2, 2017 12:44:50.131772000 Eastern Standard Time","8081","58220",
"763","Dec  2, 2017 12:44:50.168447000 Eastern Standard Time","8081","58220",
"764","Dec  2, 2017 12:44:50.172055000 Eastern Standard Time","8081","58220",
"765","Dec  2, 2017 12:44:50.172543000 Eastern Standard Time","8081","58220",
"766","Dec  2, 2017 12:44:50.365759000 Eastern Standard Time","58220","8081",
"767","Dec  2, 2017 12:44:50.365810000 Eastern Standard Time","58220","8081",
"768","Dec  2, 2017 12:44:50.365881000 Eastern Standard Time","58220","8081",
"769","Dec  2, 2017 12:44:50.374444000 Eastern Standard Time","58220","8081",
"770","Dec  2, 2017 12:44:50.374643000 Eastern Standard Time","58220","8081",
"771","Dec  2, 2017 12:44:50.374768000 Eastern Standard Time","58220","8081",
"772","Dec  2, 2017 12:44:50.375217000 Eastern Standard Time","8081","58220",
"773","Dec  2, 2017 12:44:50.410868000 Eastern Standard Time","8081","58220",
"774","Dec  2, 2017 12:44:50.411278000 Eastern Standard Time","8081","58220",
"775","Dec  2, 2017 12:44:50.411318000 Eastern Standard Time","8081","58220",
"776","Dec  2, 2017 12:44:50.618393000 Eastern Standard Time","58220","8081",
"777","Dec  2, 2017 12:44:50.618445000 Eastern Standard Time","58220","8081",
"778","Dec  2, 2017 12:44:50.619829000 Eastern Standard Time","58220","8081",
"779","Dec  2, 2017 12:44:50.620466000 Eastern Standard Time","8081","58220",
"780","Dec  2, 2017 12:44:50.667169000 Eastern Standard Time","8081","58220",
"781","Dec  2, 2017 12:44:50.667613000 Eastern Standard Time","8081","58220",
"782","Dec  2, 2017 12:44:50.667823000 Eastern Standard Time","8081","58220",
"783","Dec  2, 2017 12:44:50.873048000 Eastern Standard Time","58220","8081",
"784","Dec  2, 2017 12:44:50.873374000 Eastern Standard Time","58220","8081",
"785","Dec  2, 2017 12:44:50.873497000 Eastern Standard Time","58220","8081",
"786","Dec  2, 2017 12:44:50.873594000 Eastern Standard Time","58220","8081",
"787","Dec  2, 2017 12:44:50.873832000 Eastern Standard Time","58220","8081",
"788","Dec  2, 2017 12:44:50.873955000 Eastern Standard Time","58220","8081",
"789","Dec  2, 2017 12:44:50.908516000 Eastern Standard Time","8081","58220",
"790","Dec  2, 2017 12:44:50.908800000 Eastern Standard Time","8081","58220",
"791","Dec  2, 2017 12:44:50.909014000 Eastern Standard Time","8081","58220",
"792","Dec  2, 2017 12:44:51.156761000 Eastern Standard Time","58220","8081",
"793","Dec  2, 2017 12:44:51.156847000 Eastern Standard Time","58220","8081",
"794","Dec  2, 2017 12:44:51.158148000 Eastern Standard Time","58220","8081",
"795","Dec  2, 2017 12:44:51.158230000 Eastern Standard Time","58220","8081",
"796","Dec  2, 2017 12:44:51.158351000 Eastern Standard Time","58220","8081",
"797","Dec  2, 2017 12:44:51.162050000 Eastern Standard Time","58220","8081",
"798","Dec  2, 2017 12:44:51.203787000 Eastern Standard Time","8081","58220",
"799","Dec  2, 2017 12:44:51.229862000 Eastern Standard Time","8081","58220",
"800","Dec  2, 2017 12:44:51.230393000 Eastern Standard Time","8081","58220",
"801","Dec  2, 2017 12:44:51.230836000 Eastern Standard Time","8081","58220",
"802","Dec  2, 2017 12:44:51.461022000 Eastern Standard Time","58220","8081",
"803","Dec  2, 2017 12:44:51.461094000 Eastern Standard Time","58220","8081",
"804","Dec  2, 2017 12:44:51.461141000 Eastern Standard Time","58220","8081",
"805","Dec  2, 2017 12:44:51.461272000 Eastern Standard Time","58220","8081",
"806","Dec  2, 2017 12:44:51.461350000 Eastern Standard Time","58220","8081",
"807","Dec  2, 2017 12:44:51.469832000 Eastern Standard Time","8081","58220",
"808","Dec  2, 2017 12:44:51.542374000 Eastern Standard Time","8081","58220",
"809","Dec  2, 2017 12:44:51.542688000 Eastern Standard Time","8081","58220",
"810","Dec  2, 2017 12:44:51.729823000 Eastern Standard Time","58220","8081",
"811","Dec  2, 2017 12:44:51.734895000 Eastern Standard Time","58220","8081",
"812","Dec  2, 2017 12:44:51.735305000 Eastern Standard Time","58220","8081",
"813","Dec  2, 2017 12:44:51.735601000 Eastern Standard Time","58220","8081",
"814","Dec  2, 2017 12:44:51.735681000 Eastern Standard Time","58220","8081",
"815","Dec  2, 2017 12:44:51.735759000 Eastern Standard Time","58220","8081",
"816","Dec  2, 2017 12:44:51.736878000 Eastern Standard Time","8081","58220",
"817","Dec  2, 2017 12:44:51.782026000 Eastern Standard Time","8081","58220",
"818","Dec  2, 2017 12:44:51.784897000 Eastern Standard Time","8081","58220",
"819","Dec  2, 2017 12:44:51.983346000 Eastern Standard Time","58220","8081",
"820","Dec  2, 2017 12:44:51.987287000 Eastern Standard Time","58220","8081",
"821","Dec  2, 2017 12:44:51.987418000 Eastern Standard Time","58220","8081",
"822","Dec  2, 2017 12:44:51.987693000 Eastern Standard Time","58220","8081",
"823","Dec  2, 2017 12:44:51.987787000 Eastern Standard Time","58220","8081",
"824","Dec  2, 2017 12:44:51.994294000 Eastern Standard Time","58220","8081",
"825","Dec  2, 2017 12:44:51.994978000 Eastern Standard Time","8081","58220",
"826","Dec  2, 2017 12:44:52.026763000 Eastern Standard Time","8081","58220",
"827","Dec  2, 2017 12:44:52.027015000 Eastern Standard Time","8081","58220",
"828","Dec  2, 2017 12:44:52.027718000 Eastern Standard Time","8081","58220",
"829","Dec  2, 2017 12:44:52.027790000 Eastern Standard Time","8081","58220",
"830","Dec  2, 2017 12:44:52.218440000 Eastern Standard Time","58220","8081",
"831","Dec  2, 2017 12:44:52.218599000 Eastern Standard Time","58220","8081",
"832","Dec  2, 2017 12:44:52.219347000 Eastern Standard Time","58220","8081",
"833","Dec  2, 2017 12:44:52.224081000 Eastern Standard Time","58220","8081",
"834","Dec  2, 2017 12:44:52.264125000 Eastern Standard Time","8081","58220",
"835","Dec  2, 2017 12:44:52.279800000 Eastern Standard Time","8081","58220",
"836","Dec  2, 2017 12:44:52.282658000 Eastern Standard Time","8081","58220",
"837","Dec  2, 2017 12:44:52.282912000 Eastern Standard Time","8081","58220",
"838","Dec  2, 2017 12:44:52.471443000 Eastern Standard Time","58220","8081",
"839","Dec  2, 2017 12:44:52.472462000 Eastern Standard Time","58220","8081",
"840","Dec  2, 2017 12:44:52.472883000 Eastern Standard Time","58220","8081",
"841","Dec  2, 2017 12:44:52.473031000 Eastern Standard Time","58220","8081",
"842","Dec  2, 2017 12:44:52.473129000 Eastern Standard Time","58220","8081",
"843","Dec  2, 2017 12:44:52.473811000 Eastern Standard Time","58220","8081",
"844","Dec  2, 2017 12:44:52.477176000 Eastern Standard Time","8081","58220",
"845","Dec  2, 2017 12:44:52.531248000 Eastern Standard Time","8081","58220",
"846","Dec  2, 2017 12:44:52.531459000 Eastern Standard Time","8081","58220",
"847","Dec  2, 2017 12:44:52.531868000 Eastern Standard Time","8081","58220",
"848","Dec  2, 2017 12:44:52.732049000 Eastern Standard Time","58220","8081",
"849","Dec  2, 2017 12:44:52.732363000 Eastern Standard Time","58220","8081",
"850","Dec  2, 2017 12:44:52.732536000 Eastern Standard Time","58220","8081",
"851","Dec  2, 2017 12:44:52.732612000 Eastern Standard Time","58220","8081",
"852","Dec  2, 2017 12:44:52.732658000 Eastern Standard Time","58220","8081",
"853","Dec  2, 2017 12:44:52.735062000 Eastern Standard Time","58220","8081",
"854","Dec  2, 2017 12:44:52.735499000 Eastern Standard Time","8081","58220",
"855","Dec  2, 2017 12:44:52.797440000 Eastern Standard Time","8081","58220",
"856","Dec  2, 2017 12:44:52.797731000 Eastern Standard Time","8081","58220",
"857","Dec  2, 2017 12:44:52.797919000 Eastern Standard Time","8081","58220",
"858","Dec  2, 2017 12:44:52.987460000 Eastern Standard Time","58220","8081",
"859","Dec  2, 2017 12:44:52.987745000 Eastern Standard Time","58220","8081",
"860","Dec  2, 2017 12:44:52.991472000 Eastern Standard Time","58220","8081",
"861","Dec  2, 2017 12:44:52.995200000 Eastern Standard Time","8081","58220",
"862","Dec  2, 2017 12:44:53.044084000 Eastern Standard Time","8081","58220",
"863","Dec  2, 2017 12:44:53.044383000 Eastern Standard Time","8081","58220",
"864","Dec  2, 2017 12:44:53.044547000 Eastern Standard Time","8081","58220",
"865","Dec  2, 2017 12:44:53.249422000 Eastern Standard Time","58220","8081",
"866","Dec  2, 2017 12:44:53.249666000 Eastern Standard Time","58220","8081",
"867","Dec  2, 2017 12:44:53.256223000 Eastern Standard Time","58220","8081",
"868","Dec  2, 2017 12:44:53.256629000 Eastern Standard Time","8081","58220",
"869","Dec  2, 2017 12:44:53.318393000 Eastern Standard Time","8081","58220",
"870","Dec  2, 2017 12:44:53.318718000 Eastern Standard Time","8081","58220",
"871","Dec  2, 2017 12:44:53.319001000 Eastern Standard Time","8081","58220",
"872","Dec  2, 2017 12:44:53.521493000 Eastern Standard Time","58220","8081",
"873","Dec  2, 2017 12:44:53.522393000 Eastern Standard Time","58220","8081",
"874","Dec  2, 2017 12:44:53.523478000 Eastern Standard Time","58220","8081",
"875","Dec  2, 2017 12:44:53.524497000 Eastern Standard Time","58220","8081",
"876","Dec  2, 2017 12:44:53.524570000 Eastern Standard Time","58220","8081",
"877","Dec  2, 2017 12:44:53.532194000 Eastern Standard Time","58220","8081",
"878","Dec  2, 2017 12:44:53.532995000 Eastern Standard Time","8081","58220",
"879","Dec  2, 2017 12:44:53.637921000 Eastern Standard Time","8081","58220",
"880","Dec  2, 2017 12:44:53.638201000 Eastern Standard Time","8081","58220",
"881","Dec  2, 2017 12:44:53.638418000 Eastern Standard Time","8081","58220",
"882","Dec  2, 2017 12:44:53.638692000 Eastern Standard Time","8081","58220",
"883","Dec  2, 2017 12:44:53.638908000 Eastern Standard Time","8081","58220",
"884","Dec  2, 2017 12:44:53.639110000 Eastern Standard Time","8081","58220",
"885","Dec  2, 2017 12:44:53.826136000 Eastern Standard Time","58220","8081",
"886","Dec  2, 2017 12:44:53.826179000 Eastern Standard Time","58220","8081",
"887","Dec  2, 2017 12:44:53.827285000 Eastern Standard Time","58220","8081",
"888","Dec  2, 2017 12:44:53.827817000 Eastern Standard Time","58220","8081",
"889","Dec  2, 2017 12:44:53.831959000 Eastern Standard Time","58220","8081",
"890","Dec  2, 2017 12:44:53.832341000 Eastern Standard Time","8081","58220",
"891","Dec  2, 2017 12:44:53.868751000 Eastern Standard Time","8081","58220",
"892","Dec  2, 2017 12:44:53.868835000 Eastern Standard Time","8081","58220",
"893","Dec  2, 2017 12:44:53.869365000 Eastern Standard Time","8081","58220",
"894","Dec  2, 2017 12:44:54.074619000 Eastern Standard Time","58220","8081",
"895","Dec  2, 2017 12:44:54.074860000 Eastern Standard Time","58220","8081",
"896","Dec  2, 2017 12:44:54.074982000 Eastern Standard Time","58220","8081",
"897","Dec  2, 2017 12:44:54.075105000 Eastern Standard Time","58220","8081",
"898","Dec  2, 2017 12:44:54.075227000 Eastern Standard Time","58220","8081",
"899","Dec  2, 2017 12:44:54.077488000 Eastern Standard Time","58220","8081",
"900","Dec  2, 2017 12:44:54.120653000 Eastern Standard Time","8081","58220",
"901","Dec  2, 2017 12:44:54.150803000 Eastern Standard Time","8081","58220",
"902","Dec  2, 2017 12:44:54.156943000 Eastern Standard Time","8081","58220",
"903","Dec  2, 2017 12:44:54.349455000 Eastern Standard Time","58220","8081",
"904","Dec  2, 2017 12:44:54.352492000 Eastern Standard Time","58220","8081",
"905","Dec  2, 2017 12:44:54.353395000 Eastern Standard Time","58220","8081",
"906","Dec  2, 2017 12:44:54.353473000 Eastern Standard Time","58220","8081",
"907","Dec  2, 2017 12:44:54.353596000 Eastern Standard Time","58220","8081",
"908","Dec  2, 2017 12:44:54.361046000 Eastern Standard Time","58220","8081",
"909","Dec  2, 2017 12:44:54.362335000 Eastern Standard Time","8081","58220",
"910","Dec  2, 2017 12:44:54.390128000 Eastern Standard Time","8081","58220",
"911","Dec  2, 2017 12:44:54.390195000 Eastern Standard Time","8081","58220",
"912","Dec  2, 2017 12:44:54.390333000 Eastern Standard Time","8081","58220",
"913","Dec  2, 2017 12:44:54.596796000 Eastern Standard Time","58220","8081",
"914","Dec  2, 2017 12:44:54.598144000 Eastern Standard Time","58220","8081",
"915","Dec  2, 2017 12:44:54.598311000 Eastern Standard Time","58220","8081",
"916","Dec  2, 2017 12:44:54.598556000 Eastern Standard Time","58220","8081",
"917","Dec  2, 2017 12:44:54.598795000 Eastern Standard Time","58220","8081",
"918","Dec  2, 2017 12:44:54.609362000 Eastern Standard Time","58220","8081",
"919","Dec  2, 2017 12:44:54.644883000 Eastern Standard Time","8081","58220",
"920","Dec  2, 2017 12:44:54.645006000 Eastern Standard Time","8081","58220",
"921","Dec  2, 2017 12:44:54.645143000 Eastern Standard Time","8081","58220",
"922","Dec  2, 2017 12:44:54.645584000 Eastern Standard Time","8081","58220",
"923","Dec  2, 2017 12:44:54.836427000 Eastern Standard Time","58220","8081",
"924","Dec  2, 2017 12:44:54.836916000 Eastern Standard Time","58220","8081",
"925","Dec  2, 2017 12:44:54.836963000 Eastern Standard Time","58220","8081",
"926","Dec  2, 2017 12:44:54.837374000 Eastern Standard Time","58220","8081",
"927","Dec  2, 2017 12:44:54.837498000 Eastern Standard Time","58220","8081",
"928","Dec  2, 2017 12:44:54.839785000 Eastern Standard Time","58220","8081",
"929","Dec  2, 2017 12:44:54.864715000 Eastern Standard Time","8081","58220",
"930","Dec  2, 2017 12:44:54.864922000 Eastern Standard Time","8081","58220",
"931","Dec  2, 2017 12:44:54.865481000 Eastern Standard Time","8081","58220",
"932","Dec  2, 2017 12:44:55.058677000 Eastern Standard Time","58220","8081",
"933","Dec  2, 2017 12:44:55.058811000 Eastern Standard Time","58220","8081",
"934","Dec  2, 2017 12:44:55.063155000 Eastern Standard Time","58220","8081",
"935","Dec  2, 2017 12:44:55.063429000 Eastern Standard Time","58220","8081",
"936","Dec  2, 2017 12:44:55.063600000 Eastern Standard Time","58220","8081",
"937","Dec  2, 2017 12:44:55.063765000 Eastern Standard Time","58220","8081",
"938","Dec  2, 2017 12:44:55.104059000 Eastern Standard Time","8081","58220",
"939","Dec  2, 2017 12:44:55.151412000 Eastern Standard Time","8081","58220",
"940","Dec  2, 2017 12:44:55.154836000 Eastern Standard Time","8081","58220",
"941","Dec  2, 2017 12:44:55.155202000 Eastern Standard Time","8081","58220",
"942","Dec  2, 2017 12:44:55.351675000 Eastern Standard Time","58220","8081",
"943","Dec  2, 2017 12:44:55.351758000 Eastern Standard Time","58220","8081",
"944","Dec  2, 2017 12:44:55.353061000 Eastern Standard Time","58220","8081",
"945","Dec  2, 2017 12:44:55.361326000 Eastern Standard Time","58220","8081",
"946","Dec  2, 2017 12:44:55.361461000 Eastern Standard Time","58220","8081",
"947","Dec  2, 2017 12:44:55.362309000 Eastern Standard Time","58220","8081",
"948","Dec  2, 2017 12:44:55.362958000 Eastern Standard Time","8081","58220",
"949","Dec  2, 2017 12:44:55.441052000 Eastern Standard Time","8081","58220",
"950","Dec  2, 2017 12:44:55.441697000 Eastern Standard Time","8081","58220",
"951","Dec  2, 2017 12:44:55.441994000 Eastern Standard Time","8081","58220",
"952","Dec  2, 2017 12:44:55.660516000 Eastern Standard Time","58220","8081",
"953","Dec  2, 2017 12:44:55.660571000 Eastern Standard Time","58220","8081",
"954","Dec  2, 2017 12:44:55.666872000 Eastern Standard Time","58220","8081",
"955","Dec  2, 2017 12:44:55.666924000 Eastern Standard Time","58220","8081",
"956","Dec  2, 2017 12:44:55.667403000 Eastern Standard Time","58220","8081",
"957","Dec  2, 2017 12:44:55.668070000 Eastern Standard Time","58220","8081",
"958","Dec  2, 2017 12:44:55.668411000 Eastern Standard Time","8081","58220",
"959","Dec  2, 2017 12:44:55.711437000 Eastern Standard Time","8081","58220",
"960","Dec  2, 2017 12:44:55.716258000 Eastern Standard Time","8081","58220",
"961","Dec  2, 2017 12:44:55.716597000 Eastern Standard Time","8081","58220",
"962","Dec  2, 2017 12:44:55.716829000 Eastern Standard Time","8081","58220",
"963","Dec  2, 2017 12:44:55.922539000 Eastern Standard Time","58220","8081",
"964","Dec  2, 2017 12:44:55.925439000 Eastern Standard Time","58220","8081",
"965","Dec  2, 2017 12:44:55.925567000 Eastern Standard Time","58220","8081",
"966","Dec  2, 2017 12:44:55.926257000 Eastern Standard Time","58220","8081",
"967","Dec  2, 2017 12:44:55.926546000 Eastern Standard Time","58220","8081",
"968","Dec  2, 2017 12:44:55.934644000 Eastern Standard Time","58220","8081",
"969","Dec  2, 2017 12:44:55.935258000 Eastern Standard Time","8081","58220",
"970","Dec  2, 2017 12:44:55.998142000 Eastern Standard Time","8081","58220",
"971","Dec  2, 2017 12:44:55.998230000 Eastern Standard Time","8081","58220",
"972","Dec  2, 2017 12:44:55.998586000 Eastern Standard Time","8081","58220",
"973","Dec  2, 2017 12:44:55.998875000 Eastern Standard Time","8081","58220",
"974","Dec  2, 2017 12:44:56.252714000 Eastern Standard Time","58220","8081",
"975","Dec  2, 2017 12:44:56.252881000 Eastern Standard Time","58220","8081",
"976","Dec  2, 2017 12:44:56.252996000 Eastern Standard Time","58220","8081",
"977","Dec  2, 2017 12:44:56.260996000 Eastern Standard Time","58220","8081",
"978","Dec  2, 2017 12:44:56.261443000 Eastern Standard Time","8081","58220",
"979","Dec  2, 2017 12:44:56.321696000 Eastern Standard Time","8081","58220",
"980","Dec  2, 2017 12:44:56.321783000 Eastern Standard Time","8081","58220",
"981","Dec  2, 2017 12:44:56.321896000 Eastern Standard Time","8081","58220",
"982","Dec  2, 2017 12:44:56.523208000 Eastern Standard Time","58220","8081",
"983","Dec  2, 2017 12:44:56.523274000 Eastern Standard Time","58220","8081",
"984","Dec  2, 2017 12:44:56.523286000 Eastern Standard Time","58220","8081",
"985","Dec  2, 2017 12:44:56.523324000 Eastern Standard Time","58220","8081",
"986","Dec  2, 2017 12:44:56.524431000 Eastern Standard Time","58220","8081",
"987","Dec  2, 2017 12:44:56.524964000 Eastern Standard Time","58220","8081",
"988","Dec  2, 2017 12:44:56.525371000 Eastern Standard Time","8081","58220",
"989","Dec  2, 2017 12:44:56.573834000 Eastern Standard Time","8081","58220",
"990","Dec  2, 2017 12:44:56.574079000 Eastern Standard Time","8081","58220",
"991","Dec  2, 2017 12:44:56.574308000 Eastern Standard Time","8081","58220",
"992","Dec  2, 2017 12:44:56.768345000 Eastern Standard Time","58220","8081",
"993","Dec  2, 2017 12:44:56.769080000 Eastern Standard Time","58220","8081",
"994","Dec  2, 2017 12:44:56.769536000 Eastern Standard Time","58220","8081",
"995","Dec  2, 2017 12:44:56.769652000 Eastern Standard Time","58220","8081",
"996","Dec  2, 2017 12:44:56.771623000 Eastern Standard Time","58220","8081",
"997","Dec  2, 2017 12:44:56.772030000 Eastern Standard Time","8081","58220",
"998","Dec  2, 2017 12:44:56.804593000 Eastern Standard Time","8081","58220",
"999","Dec  2, 2017 12:44:56.804832000 Eastern Standard Time","8081","58220",
"1000","Dec  2, 2017 12:44:56.804967000 Eastern Standard Time","8081","58220",
"1001","Dec  2, 2017 12:44:57.006830000 Eastern Standard Time","58220","8081",
"1002","Dec  2, 2017 12:44:57.007640000 Eastern Standard Time","58220","8081",
"1003","Dec  2, 2017 12:44:57.007848000 Eastern Standard Time","58220","8081",
"1004","Dec  2, 2017 12:44:57.015582000 Eastern Standard Time","58220","8081",
"1005","Dec  2, 2017 12:44:57.044437000 Eastern Standard Time","8081","58220",
"1006","Dec  2, 2017 12:44:57.044480000 Eastern Standard Time","8081","58220",
"1007","Dec  2, 2017 12:44:57.234286000 Eastern Standard Time","58220","8081",
"1008","Dec  2, 2017 12:44:57.234791000 Eastern Standard Time","58220","8081",
"1009","Dec  2, 2017 12:44:57.235400000 Eastern Standard Time","58220","8081",
"1010","Dec  2, 2017 12:44:57.238581000 Eastern Standard Time","58220","8081",
"1011","Dec  2, 2017 12:44:57.264473000 Eastern Standard Time","8081","58220",
"1012","Dec  2, 2017 12:44:57.264596000 Eastern Standard Time","8081","58220",
"1013","Dec  2, 2017 12:44:57.266276000 Eastern Standard Time","8081","58220",
"1014","Dec  2, 2017 12:44:57.459845000 Eastern Standard Time","58220","8081",
"1015","Dec  2, 2017 12:44:57.460496000 Eastern Standard Time","58220","8081",
"1016","Dec  2, 2017 12:44:57.460572000 Eastern Standard Time","58220","8081",
"1017","Dec  2, 2017 12:44:57.461714000 Eastern Standard Time","58220","8081",
"1018","Dec  2, 2017 12:44:57.492630000 Eastern Standard Time","8081","58220",
"1019","Dec  2, 2017 12:44:57.492874000 Eastern Standard Time","8081","58220",
"1020","Dec  2, 2017 12:44:57.694371000 Eastern Standard Time","58220","8081",
"1021","Dec  2, 2017 12:44:59.688147000 Eastern Standard Time","58220","8081",
"1022","Dec  2, 2017 12:44:59.688434000 Eastern Standard Time","58220","8081",
"1023","Dec  2, 2017 12:44:59.688596000 Eastern Standard Time","58220","8081",
"1024","Dec  2, 2017 12:44:59.688851000 Eastern Standard Time","8081","58220",
"1025","Dec  2, 2017 12:44:59.688931000 Eastern Standard Time","58220","8081",
"1026","Dec  2, 2017 12:44:59.689092000 Eastern Standard Time","58220","8081",
"1027","Dec  2, 2017 12:44:59.689251000 Eastern Standard Time","58220","8081",
"1028","Dec  2, 2017 12:44:59.689495000 Eastern Standard Time","58220","8081",
"1029","Dec  2, 2017 12:44:59.689750000 Eastern Standard Time","58220","8081",
"1030","Dec  2, 2017 12:44:59.689906000 Eastern Standard Time","58220","8081",
"1031","Dec  2, 2017 12:44:59.692170000 Eastern Standard Time","8081","58220",
"1032","Dec  2, 2017 12:44:59.948114000 Eastern Standard Time","58220","8081",
"1033","Dec  2, 2017 12:44:59.948163000 Eastern Standard Time","58220","8081",
"1034","Dec  2, 2017 12:44:59.948243000 Eastern Standard Time","58220","8081",
"1035","Dec  2, 2017 12:44:59.948946000 Eastern Standard Time","58220","8081",
"1036","Dec  2, 2017 12:44:59.949025000 Eastern Standard Time","58220","8081",
"1037","Dec  2, 2017 12:44:59.949099000 Eastern Standard Time","58220","8081",
"1038","Dec  2, 2017 12:44:59.949147000 Eastern Standard Time","58220","8081",
"1039","Dec  2, 2017 12:44:59.949236000 Eastern Standard Time","58220","8081",
"1040","Dec  2, 2017 12:44:59.949309000 Eastern Standard Time","58220","8081",
"1041","Dec  2, 2017 12:44:59.949359000 Eastern Standard Time","8081","58220",
"1042","Dec  2, 2017 12:44:59.949365000 Eastern Standard Time","8081","58220",
"1043","Dec  2, 2017 12:44:59.950217000 Eastern Standard Time","8081","58220",
"1044","Dec  2, 2017 12:45:00.224201000 Eastern Standard Time","58220","8081",
"1045","Dec  2, 2017 12:45:00.224379000 Eastern Standard Time","58220","8081",
"1046","Dec  2, 2017 12:45:00.224487000 Eastern Standard Time","58220","8081",
"1047","Dec  2, 2017 12:45:00.224697000 Eastern Standard Time","58220","8081",
"1048","Dec  2, 2017 12:45:00.224869000 Eastern Standard Time","58220","8081",
"1049","Dec  2, 2017 12:45:00.224884000 Eastern Standard Time","8081","58220",
"1050","Dec  2, 2017 12:45:00.225066000 Eastern Standard Time","58220","8081",
"1051","Dec  2, 2017 12:45:00.225269000 Eastern Standard Time","58220","8081",
"1052","Dec  2, 2017 12:45:00.225326000 Eastern Standard Time","8081","58220",
"1053","Dec  2, 2017 12:45:00.225386000 Eastern Standard Time","58220","8081",
"1054","Dec  2, 2017 12:45:00.225509000 Eastern Standard Time","58220","8081",
"1055","Dec  2, 2017 12:45:00.225966000 Eastern Standard Time","58220","8081",
"1056","Dec  2, 2017 12:45:00.226086000 Eastern Standard Time","58220","8081",
"1057","Dec  2, 2017 12:45:00.226973000 Eastern Standard Time","8081","58220",
"1058","Dec  2, 2017 12:45:00.488262000 Eastern Standard Time","58220","8081",
"1059","Dec  2, 2017 12:45:00.488591000 Eastern Standard Time","58220","8081",
"1060","Dec  2, 2017 12:45:00.489033000 Eastern Standard Time","58220","8081",
"1061","Dec  2, 2017 12:45:00.489410000 Eastern Standard Time","8081","58220",
"1062","Dec  2, 2017 12:45:00.578913000 Eastern Standard Time","8081","58220",
"1063","Dec  2, 2017 12:45:00.578985000 Eastern Standard Time","8081","58220",
"1064","Dec  2, 2017 12:45:00.796953000 Eastern Standard Time","58220","8081",
"1065","Dec  2, 2017 12:45:00.798276000 Eastern Standard Time","58220","8081",
"1066","Dec  2, 2017 12:45:00.824800000 Eastern Standard Time","8081","58220",
